id	model_type	dataset_type	detail_name	path_prefix	n_features	best_iter_epoch	train_rmse	test_rmse	model_size_mb	has_importance	has_original_importance	importance_file	original_importance_file
lgbm_combine_chunk_01	lgbm	combine	chunk_01	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_combine_chunk_01		858			175.65	FALSE	FALSE		
lgbm_combine_norm_chunk_01	lgbm	combine	norm_chunk_01	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_combine_norm_chunk_01		320			172.36	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows	lgbm	separate	norm_Nomorlization_二林_C0G730_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows		281			36	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows	lgbm	separate	norm_Nomorlization_三重_C0AI30_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows		195			41.16	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows	lgbm	separate	norm_Nomorlization_三義_C0F9Q0_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows		155			32.37	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows	lgbm	separate	norm_Nomorlization_土城_C0AD40_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows		185			35.4	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_士林_C0AI40_combined_windows	lgbm	separate	norm_Nomorlization_士林_C0AI40_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_士林_C0AI40_combined_windows		228			35.12	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_大同_C0AI30_combined_windows	lgbm	separate	norm_Nomorlization_大同_C0AI30_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_大同_C0AI30_combined_windows		206			41.02	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows	lgbm	separate	norm_Nomorlization_大里_C0F9N0_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows		143			36.07	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_大園_C0C590_combined_windows	lgbm	separate	norm_Nomorlization_大園_C0C590_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_大園_C0C590_combined_windows		225			35.5	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_大寮_C0V450_combined_windows	lgbm	separate	norm_Nomorlization_大寮_C0V450_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_大寮_C0V450_combined_windows		145			37.11	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_小港_C0V450_combined_windows	lgbm	separate	norm_Nomorlization_小港_C0V450_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_小港_C0V450_combined_windows		150			37.33	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_中山_C0AH70_combined_windows	lgbm	separate	norm_Nomorlization_中山_C0AH70_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_中山_C0AH70_combined_windows		210			37.43	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_中壢_A2C560_combined_windows	lgbm	separate	norm_Nomorlization_中壢_A2C560_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_中壢_A2C560_combined_windows		230			37.01	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_仁武_C0V680_combined_windows	lgbm	separate	norm_Nomorlization_仁武_C0V680_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_仁武_C0V680_combined_windows		135			37	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows	lgbm	separate	norm_Nomorlization_斗六_C0K400_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows		132			35.48	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_冬山_C0U910_combined_windows	lgbm	separate	norm_Nomorlization_冬山_C0U910_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_冬山_C0U910_combined_windows		135			32.64	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_古亭_C0AH10_combined_windows	lgbm	separate	norm_Nomorlization_古亭_C0AH10_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_古亭_C0AH10_combined_windows		317			34.8	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_左營_C0V810_combined_windows	lgbm	separate	norm_Nomorlization_左營_C0V810_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_左營_C0V810_combined_windows		134			36.27	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows	lgbm	separate	norm_Nomorlization_平鎮_A2C560_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows		273			34.25	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_永和_C0AH10_combined_windows	lgbm	separate	norm_Nomorlization_永和_C0AH10_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_永和_C0AH10_combined_windows		290			37.44	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_安南_467420_combined_windows	lgbm	separate	norm_Nomorlization_安南_467420_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_安南_467420_combined_windows		161			34.28	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_朴子_C0M650_combined_windows	lgbm	separate	norm_Nomorlization_朴子_C0M650_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_朴子_C0M650_combined_windows		152			34.42	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_汐止_C0AH00_combined_windows	lgbm	separate	norm_Nomorlization_汐止_C0AH00_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_汐止_C0AH00_combined_windows		180			35.92	FALSE	FALSE		
lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows	lgbm	separate	norm_Nomorlization_竹山_U2HA50_combined_windows	D:/pythonWork/R_datascience/final/Train_R/model_outputs/models/lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows		121			32.88	FALSE	FALSE		
